source_page,sl_no,slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material_involved,movement_type,history
487,19742,MG/EKH/78O12/2017/39,Meghalaya,East Khasi Hills,NA,Along LawbahHat Mawdon,25.205078,91.57517,Debris,Slide,NA
487,19743,MG/EKH/78O16/2017/6,Meghalaya,East Khasi Hills,NA,Along sohrashella bypass from Sohbar village,25.205307,91.755686,Debris,Slide,NA
487,19744,MG/EKH/78O16/2017/2,Meghalaya,East Khasi Hills,NA,along sohrashella bypass from Sohbar village,25.205465,91.755789,Debris,Slide,NA
487,19745,MG/EKH/78O12/2017/5,Meghalaya,East Khasi Hills,NA,along sohrashella bypass from Sohbar village,25.205623,91.736208,Debris,Slide,NA
487,19746,MG/EKH/78O12/2017/30,Meghalaya,East Khasi Hills,NA,<Null>,25.205651,91.599771,Rock,Slide,NA
487,19747,MG/EKH/78O16/2017/5,Meghalaya,East Khasi Hills,NA,Along sohrashella bypass from Sohbar village,25.206426,91.75498,Rock,Slide,NA
487,19748,MG/EKH/78O12/2017/26,Meghalaya,East Khasi Hills,NA,along sohrashella bypass from Sohbar village,25.20655,91.744914,Debris,Slide,NA
487,19749,MG/EKH/78O12/2017/32,Meghalaya,East Khasi Hills,NA,Along SohraMawlong road,25.206573,91.738428,Debris,Slide,NA
487,19750,MG/EKH/78O12/2017/64,Meghalaya,East Khasi Hills,NA,Along Sohra Mawlong road,25.206686,91.73898,Debris,Slide,NA
487,19751,MG/SWK/78O04/2017/3,Meghalaya,South West Khasi Hills,Rajai slide,About 1 km NE of Rajai village,25.206763,91.231417,Rock,Slide,NA
487,19752,MG/EKH/78O12/2017/65,Meghalaya,East Khasi Hills,NA,Along Sohra Mawlong road,25.206885,91.740497,Debris,Slide,NA
488,19753,MG/EKH/78O12/2017/71,Meghalaya,East Khasi Hills,NA,along sohrashella bypass from Sohbar village,25.206892,91.736341,Debris,Slide,NA
488,19754,MEG/WJH/83C4/2016/14,Meghalaya,West Jaintia Hills,Satpator,Laremshiap road,25.206972,92.208028,Debris,Slide,2016
488,19755,MG/EKH/78O12/2017/44,Meghalaya,East Khasi Hills,NA,Along Sohra Mawlong road,25.2071,91.741225,Debris,Slide,NA
488,19756,MG/EKH/78O12/2017/29,Meghalaya,East Khasi Hills,NA,<Null>,25.207314,91.592357,Rock,Slide,NA
488,19757,MG/EKH/78O12/2017/22,Meghalaya,East Khasi Hills,NA,along sohrashella bypass from Sohbar village,25.207515,91.746839,Debris,Slide,NA
488,19758,MG/EKH/78O12/2017/41,Meghalaya,East Khasi Hills,NA,Along Mawlong Shella road,25.208256,91.69041,Debris,Slide,NA
488,19759,MG/EKH/78O12/2017/62,Meghalaya,East Khasi Hills,NA,Along LawbahHat Mawdon,25.208313,91.606889,Rock,Slide,NA
488,19760,MG/EKH/78O12/2017/73,Meghalaya,East Khasi Hills,NA,Along Sohra Mawlong road,25.20836,91.725397,Debris,Slide,NA
