source_page,sl_no,slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material_involved,movement_type,history,elevation,slope,aspect,plan_curvature,profile_curvature,twi,spi
499,20177,MG/WKH/78O02/2017/15,Meghalaya,West Khasi Hills,1.2 km NNW of Mawiaban,NH44E,25.550608,91.232894,Debris,Slide,NA,1331.00,23.05,75.70,0.004869,0.003834,4.1833,11.8679
499,20178,MG/WKH/78O02/2017/16,Meghalaya,West Khasi Hills,1.2 km NNW of Mawiaban,NH44E,25.551225,91.232636,Debris,Slide,NA,1333.00,22.94,60.22,0.008578,0.003628,4.8814,23.6180
499,20179,MG/WKH/78O06/2017/16,Meghalaya,South West Khasi Hills,Pyndengrei slide no 7,NH44E Nongstoin bypass,25.55125,91.297056,Rock,Slide,NA,1477.00,7.87,335.07,0.065037,-0.001562,5.3077,3.8552
499,20180,MG/WKH/78O02/2017/17,Meghalaya,West Khasi Hills,1.3 km NNW of Mawiaban,NH44E,25.551667,91.2325,Debris,Slide,NA,1318.00,19.13,59.93,0.001075,-0.003162,5.7736,38.7105
499,20181,MG/WJH/83C06/2018/3,Meghalaya,West Jaintia hills,Mynso slide,1 km east of Mynso,25.551667,92.331806,Rock,Slide,NA,1192.00,23.74,172.98,-0.011687,0.003209,5.7592,61.3584
499,20182,MG/WKH/78O02/2017/35,Meghalaya,West Khasi Hills,1.9 km NE of Mawkadiang,Link road from NH44E from Mawliehdein,25.552647,91.237072,Debris,Slide,NA,1356.00,4.56,329.60,0.024302,0.000302,5.8583,2.2229
499,20183,MG/WKH/78K14/2018/2,Meghalaya,West Khasi Hills,South-West of Nongchram Ading,NH-44E,25.552992,90.814503,Debris,Slide,NA,503.00,25.04,122.44,0.004173,-0.001628,4.7827,26.0682
499,20184,MG/WKH/78K14/2018/9,Meghalaya,West Khasi Hills,West of Nongchram Ading,NH-44E,25.553522,90.815225,Soil,Flow,NA,485.00,26.24,134.85,-0.004616,-0.002476,4.7290,27.5044
499,20185,MG/WKH/78O02/2017/18,Meghalaya,West Khasi Hills,1.6 km NNW of Mawiaban,NH44E,25.553794,91.231139,Debris,Slide,NA,1304.00,18.84,51.98,-0.006035,-0.007449,5.5022,28.5613
499,20186,MG/WKH/78O02/2017/34,Meghalaya,West Khasi Hills,1.8 km NE of Mawkadiang,Link road from NH44E from Mawliehdein,25.555256,91.234944,Rock,Slide,NA,1338.00,14.57,271.78,0.003182,-0.000967,5.3687,14.5070
499,20187,MG/EGH/78K14/2018/8,Meghalaya,East Garo hills,South of Nongchram Ading,NH 44E,25.557833,90.818103,Soil,Slide,NA,514.00,11.87,138.62,-0.012315,0.002425,5.5817,11.7231
499,20188,MG/EGH/78K14/2018/7,Meghalaya,East Garo hills,South-West of Nongchram Ading,NH-44E,25.558058,90.809919,Soil,Slide,NA,405.00,29.03,255.66,-0.009203,0.000778,6.2199,154.8227
499,20189,MG/WKH/78O02/2017/19,Meghalaya,West Khasi Hills,1.7 km E of Urkyllong,NH44E,25.558442,91.228547,Debris,Slide,NA,1302.00,16.83,83.09,-0.004879,-0.002794,5.9107,33.7451
499,20190,MG/WKH/78O02/2017/33,Meghalaya,West Khasi Hills,1.7 km NE of Mawkadiang,Link road from NH44E from Mawliehdein,25.558489,91.230911,Debris,Slide,NA,1315.00,22.53,202.21,-0.000614,-0.002908,4.9016,23.1438
499,20191,MG/WKH/78O02/2017/32,Meghalaya,West Khasi Hills,1.7 km NE of Mawkadiang,Link road from NH44E from Mawliehdein,25.559222,91.229639,Debris,Slide,NA,1313.00,23.68,224.02,0.011407,0.000358,5.2515,36.6954
499,20192,ME/EKH/83C02/2015/171,Meghalaya,East Khasi Hills,NA,NA,25.559778,92.226278,Debris,Slide,NA,1279.00,14.46,171.00,-0.009476,-0.001065,6.0702,28.7714
499,20193,MG/WGH/78K06/2020/15,Meghalaya,West Garo Hills,Tura-Williamnagar road slide no 2,"SH-1, Tura-Williamnagar Road",25.56,90.34,Earth,Slide,NA,745.00,15.50,209.00,0.031906,0.005025,4.6111,7.7357
499,20194,MG/WGH/78K06/2020/16,Meghalaya,West Garo Hills,Tura-Williamnagar road slide no 3,"SH-1, Tura-Williamnagar Road, Chinabat, Meghalaya.",25.56,90.37,Debris,Slide,2019,678.00,18.44,230.01,0.002938,-0.002138,5.1201,18.5996
499,20195,MG/SWKH/78K14/2018/1,Meghalaya,South West Khasi Hills,North of Makalbari,NH-44E,25.560028,90.833917,Soil,Slide,NA,576.00,14.20,331.45,-0.008938,-0.002622,5.8010,21.1830
499,20196,MG/WKH/78O02/2017/31,Meghalaya,West Khasi Hills,2.2 km E of Urkyllong,Link road from NH44E from Mawliehdein,25.560667,91.228028,Debris,Slide,NA,1307.00,26.50,220.33,0.004590,-0.001640,4.7178,27.8108
499,20197,MG/WKH/78O02/2017/30,Meghalaya,West Khasi Hills,2.1 km E of Urkyllong,Link road from NH44E from Mawliehdein,25.560931,91.227694,Debris,Slide,NA,1308.00,26.22,220.24,-0.004318,-0.003513,5.1353,41.2156
499,20198,MG/WJH/83C06/2018/6,Meghalaya,West Jaintia hills,Mynso quarry slide,Mynso-Samatan road,25.561281,92.330142,Debris,Slide,NA,1064.00,27.49,338.80,-0.005007,0.002215,5.9277,101.6023
499,20199,MG/WKH/78O02/2017/21,Meghalaya,West Khasi Hills,0.8 km E of Mawliehdein,NH44E,25.563239,91.225711,Debris,Slide,NA,1326.00,23.63,252.25,0.001377,-0.002440,4.8481,24.4121
499,20200,MG/WJH/83C06/2018/4,Meghalaya,East Jaintia Hills,Mynso quarry slide,Mynso-Samatan road,25.563472,92.329689,Rock,Slide,NA,1032.00,27.33,165.95,0.000051,-0.002952,4.6818,28.8281
499,20201,MG/WKH/78O02/2017/57,Meghalaya,West Khasi Hills,2.4 km E of mawliehdein,Urkali Nongkhniang road,25.565333,91.225667,Debris,Slide,NA,1325.00,21.72,278.17,0.000636,-0.002072,6.1947,77.7889
499,20202,MG/WKH/78O02/2017/20,Meghalaya,West Khasi Hills,1.3 km E of Mawliehdein,NH44E,25.565489,91.220686,Debris,Slide,NA,1341.00,8.55,45.66,0.019664,0.005146,5.2230,4.1947
499,20203,MG/SGH/78K14/2018/3,Meghalaya,South Garo hills,Rongjeng slide,NH44E,25.565569,90.808153,Soil,Slide,NA,413.00,6.24,51.09,0.052307,0.001805,5.5410,3.0521
499,20204,MEGH/EKH/78O14/2007/D-17,Meghalaya,East Khasi Hills,Nongrimbah slide,NA,25.56667,91.90194,Debris,Slide,08 September 2007,1545.00,3.10,345.65,-0.025988,-0.000917,8.4399,13.6178
499,20205,MEG/WKH/78O10/2016/11,Meghalaya,West Khasi Hills,Pyrda village slide1,2 km SE of Pyrda village,25.568056,91.737944,Rock,Slide,2016,1710.00,11.51,82.01,0.006142,-0.008657,6.3061,22.7204
499,20206,MEG/WKH/78O10/2016/12,Meghalaya,West Khasi Hills,Pyrda village slide2,About 2 km SE of Pyrda village,25.568106,91.737919,Debris,Slide,2016,1710.00,11.51,82.01,0.006142,-0.008657,6.3061,22.7204
499,20207,ME/EKJ/78O14/2015/28,Meghalaya,East Khasi Hills,NA,Near Nongumlong,25.568837,91.833286,Rock,Slide,NA,1469.00,21.62,84.15,-0.004162,-0.001580,5.3523,33.1729
499,20208,MG/WKH/78O02/2017/22,Meghalaya,West Khasi Hills,Urkali,NH44E,25.569222,91.217222,Debris,Slide,NA,1293.00,16.76,226.81,-0.006497,-0.001036,5.6270,25.2046
499,20209,ME/EKH/83C02/2015/182,Meghalaya,East Khasi Hills,NA,NA,25.569278,92.2025,Debris,Slide,NA,1249.00,26.46,357.42,0.005450,0.005901,5.8179,83.2999
499,20210,ME/EKH/83C02/2015/183,Meghalaya,East Khasi Hills,NA,1km W of Nartiang,25.569333,92.202139,Debris,Slide,NA,1233.00,21.23,11.98,0.001863,-0.004628,6.0657,65.0126
499,20211,MG/WKH/78O02/2017/23,Meghalaya,West Khasi Hills,0.3 km w of Urkali,NH44E,25.569778,91.21575,Debris,Slide,NA,1282.00,8.69,241.58,0.017991,-0.001646,7.5092,42.6403
499,20212,MG/WGH/78G14/2020/2,Meghalaya,West Garo Hills,NA,NA,25.57,89.98,Debris,Slide,NA,53.00,11.19,282.99,0.023836,0.002913,4.9491,5.5163
500,20213,MG/WKH/78O02/2017/24,Meghalaya,West Khasi Hills,0.4 km w of Urkali,NH44E,25.570361,91.215056,Debris,Slide,NA,1274.00,8.04,242.73,0.014574,-0.006524,6.3848,11.8128
500,20214,MEG/WJH/83C10/2016/31,Meghalaya,West Jaintia Hills,N of Lumjem,Lumjem-Muthairain road,25.571,92.55128,Debris,Slide,NA,836.00,15.65,308.36,0.004859,0.004096,5.2943,15.6235
500,20215,ME/EKJ/78O14/2015/10,Meghalaya,East Khasi Hills,NA,Near Nongumlong,25.571256,91.825464,Rock,Slide,NA,1277.00,27.78,290.67,0.032739,0.007819,3.9692,14.6958
500,20216,ME/EKJ/78O14/2015/27,Meghalaya,East Khasi Hills,NA,Near Nongumlong,25.571299,91.833183,Debris,Slide,NA,1442.00,18.43,84.43,0.017409,0.005000,4.4274,9.2939
500,20217,ME/EKJ/78O14/2015/11,Meghalaya,East Khasi Hills,NA,Near Nongumlong,25.571555,91.826228,Debris,Slide,NA,1281.00,34.08,337.82,0.007514,0.003647,3.7190,18.8737
