source_page,sl_no,slide_no,latitude,longitude,slide_name,duplicate_reason
359,14916,9,9.851827,77.204249,Palar,Slide_No 9 appears 3 times in inventory
359,14917,10,9.854614,77.206592,Pallipadi,Slide_No 10 appears 3 times in inventory
360,14918,11,9.837212,77.173549,Kunnukuzhi,Slide_No 11 appears 3 times in inventory
360,14919,12,9.886393,77.120748,Asokavanam,Slide_No 12 appears 3 times in inventory
360,14920,13,9.878588,77.159847,Parathodu,Slide_No 13 appears 3 times in inventory
360,14921,14,9.880659,77.145568,Parathodu- 40th Acre I,Slide_No 14 appears 3 times in inventory
360,14922,15,9.880827,77.123401,Mavadi,Slide_No 15 appears 3 times in inventory
360,14923,16,9.880616,77.122442,Puthukkal I,Slide_No 16 appears 3 times in inventory
360,14924,17,9.881169,77.120732,Puthukkal II,Slide_No 17 appears 3 times in inventory
360,14925,18,9.882046,77.120674,Amblakkavala,Slide_No 18 appears 3 times in inventory
360,14926,19,9.893207,77.169231,Kilavikulam - I,Slide_No 19 appears 3 times in inventory
360,14927,20,9.896136,77.17327,Kilavikulam - II,Slide_No 20 appears 3 times in inventory
360,14928,21,9.912176,77.176511,Chappath,Slide_No 21 appears 4 times in inventory
360,14929,22,9.918204,77.166852,Karakunnu,Slide_No 22 appears 4 times in inventory
360,14930,23,9.923082,77.159007,Chemmnnar- I,Slide_No 23 appears 4 times in inventory
360,14931,24,9.929417,77.123704,Arattupara,Slide_No 24 appears 4 times in inventory
360,14932,25,9.928599,77.121639,Mavara City -I,Slide_No 25 appears 4 times in inventory
360,14933,26,9.926836,77.123159,Mavara City - II,Slide_No 26 appears 4 times in inventory
360,14934,27,9.926536,77.126202,Mavara City - III,Slide_No 27 appears 4 times in inventory
360,14935,28,9.926579,77.117961,Vattakannippara -I,Slide_No 28 appears 4 times in inventory
360,14936,29,9.916541,77.114532,Vattakannippara -II,Slide_No 29 appears 4 times in inventory
360,14937,30,9.914051,77.115246,Vattakannippara -III,Slide_No 30 appears 4 times in inventory
360,14938,31,9.92214,77.14932,Chemmannar -II,Slide_No 31 appears 3 times in inventory
360,14939,32,9.923232,77.148288,Chemmannar -III,Slide_No 32 appears 3 times in inventory
360,14940,33,9.927923,77.135537,Pallikunnu,Slide_No 33 appears 3 times in inventory
360,14941,34,9.933582,77.111196,St. Sebastian Sleeba Church,Slide_No 34 appears 3 times in inventory
360,14942,35,9.913188,77.115833,Thinkalkadu I,Slide_No 35 appears 3 times in inventory
360,14943,36,9.912635,77.113277,Thinkalkadu II,Slide_No 36 appears 3 times in inventory
360,14944,37,9.91488,77.10647,Thinkalkadu III,Slide_No 37 appears 3 times in inventory
360,14945,38,9.914315,77.110644,Thinkalkadu IV,Slide_No 38 appears 3 times in inventory
360,14946,39,9.914315,77.110644,Thinkalkadu V,Slide_No 39 appears 3 times in inventory
360,14947,40,9.91506,77.078826,Thinkalkadu VI,Slide_No 40 appears 3 times in inventory
360,14948,41,9.914739,77.109325,Thinkalkadu VII,Slide_No 41 appears 3 times in inventory
360,14949,42,9.913768,77.109847,Thinkalkadu VIII,Slide_No 42 appears 3 times in inventory
361,14950,43,9.914919,77.106482,Thinkalkadu IX,Slide_No 43 appears 3 times in inventory
361,14951,44,9.900049,77.111063,Kailalasam,Slide_No 44 appears 3 times in inventory
361,14952,45,9.966702,77.157571,Rajakumari,Slide_No 45 appears 3 times in inventory
361,14953,46,9.970397,77.159209,Pallipadi,Slide_No 46 appears 3 times in inventory
361,14954,47,9.981957,77.166132,Manjakkuzhi,Slide_No 47 appears 3 times in inventory
361,14955,48,9.98667,77.172555,Vathukappu-I,Slide_No 48 appears 3 times in inventory
361,14956,49,9.990063,77.178833,Vathukappu-II,Slide_No 49 appears 3 times in inventory
361,14957,50,9.991283,77.174729,Vathukappu - III,Slide_No 50 appears 3 times in inventory
361,14958,51,9.992937,77.177521,Muduvakkudi-I,Slide_No 51 appears 3 times in inventory
361,14959,52,9.992798,77.180848,Kulapparachal,Slide_No 52 appears 3 times in inventory
361,14960,53,9.999,77.17757,Muduvakkudi-II,Slide_No 53 appears 3 times in inventory
361,14961,54,10.001,77.1708,Vathukappu - IV,Slide_No 54 appears 3 times in inventory
361,14962,55,10,77.17004,Vathukappu - V,Slide_No 55 appears 3 times in inventory
361,14963,56,9.981525,77.133652,Kumbhappara -I,Slide_No 56 appears 3 times in inventory
361,14964,57,9.981446,77.131882,Kumbhappara -II,Slide_No 57 appears 3 times in inventory
361,14965,58,9.98176,77.132331,Kumbhappara -III,Slide_No 58 appears 3 times in inventory
361,14966,59,9.621675,77.161217,"Amravathy, 1st Mile",Slide_No 59 appears 3 times in inventory
361,14967,60,9.629298,77.163697,"Amravathy, 2nd Mile",Slide_No 60 appears 3 times in inventory
361,14968,61,9.632692,77.162881,AKG Padi,Slide_No 61 appears 3 times in inventory
361,14969,62,9.636032,77.163613,"AKG Padi, 3rd Mile",Slide_No 62 appears 3 times in inventory
361,14970,63,9.637009,77.163437,"3rd Mile, Amarvathy",Slide_No 63 appears 3 times in inventory
361,14971,64,9.640687,77.166384,5th Mile -I,Slide_No 64 appears 3 times in inventory
361,14972,65,9.637785,77.170792,5th Mile-II,Slide_No 65 appears 3 times in inventory
361,14973,66,9.634359,77.157909,Ottakathalamedu-I,Slide_No 66 appears 3 times in inventory
361,14974,67,9.633776,77.157286,Ottakathalamedu-II,Slide_No 67 appears 3 times in inventory
361,14975,68,9.633309,77.156819,Ottakathalamedu-III,Slide_No 68 appears 3 times in inventory
361,14976,69,9.63423,77.154065,Ottakathalamedu-IV,Slide_No 69 appears 3 times in inventory
361,14977,70,9.635735,77.151807,Anappara,Slide_No 70 appears 3 times in inventory
361,14978,71,9.635213,77.152987,Attapallom -I,Slide_No 71 appears 3 times in inventory
361,14979,72,9.63221,77.156202,Attapallom -II,Slide_No 72 appears 3 times in inventory
361,14980,73,9.629116,77.153759,Ottakathalamedu-V,Slide_No 73 appears 3 times in inventory
361,14981,74,9.629553,77.1546,Mother Theresa Nagar,Slide_No 74 appears 3 times in inventory
361,14982,75,9.629002,77.137118,Pathumuri,Slide_No 75 appears 3 times in inventory
362,14983,76,9.627685,77.138111,Attapllom-III,Slide_No 76 appears 3 times in inventory
362,14984,77,9.611343,77.148419,66th Mile-I,Slide_No 77 appears 3 times in inventory
362,14985,78,9.608653,77.146307,66th Mile-II,Slide_No 78 appears 3 times in inventory
362,14986,79,9.608653,77.146307,66th Mile-III,Slide_No 79 appears 3 times in inventory
362,14987,80,9.608653,77.146307,65th Mile-I,Slide_No 80 appears 3 times in inventory
362,14988,81,9.608653,77.146307,65th Mile-II,Slide_No 81 appears 3 times in inventory
362,14989,82,9.608653,77.146307,"65th Mile, Bridge",Slide_No 82 appears 3 times in inventory
362,14990,83,9.608653,77.146307,Chottupara,Slide_No 83 appears 3 times in inventory
362,14991,84,9.616867,77.143727,Murukkady,Slide_No 84 appears 3 times in inventory
362,14996,KRL/IDK/58C13/2018/6,9.872109736,76.93810007,Ambataru colony,Slide_No KRL/IDK/58C13/2018/6 appears 2 times in inventory
362,14997,KRL/IDK/58C13/2018/6,9.871599974,76.94028492,Ambataru colony,Slide_No KRL/IDK/58C13/2018/6 appears 2 times in inventory
367,15199,KRL/IDK/58C13/2018/208,9.847280184,76.94078985,Kuyilimala,Slide_No KRL/IDK/58C13/2018/208 appears 2 times in inventory
367,15200,KRL/IDK/58C13/2018/208,9.84608162,76.93856784,Kuyilimala,Slide_No KRL/IDK/58C13/2018/208 appears 2 times in inventory
369,15276,KRL/IDK/58F/4/2018/286,9.99189645,77.06274131,"Ellackkal, Kunjithani",Slide_No KRL/IDK/58F/4/2018/286 appears 2 times in inventory
369,15277,KRL/IDK/58F/4/2018/286,9.994788375,77.0613735,"Ellackkal, Kunjithani",Slide_No KRL/IDK/58F/4/2018/286 appears 2 times in inventory
378,15613,1,8.7437,77.1226,Ponmudi,Slide_No 1 appears 8 times in inventory
378,15614,2,8.7531,77.1252,Ponmudi,Slide_No 2 appears 5 times in inventory
378,15615,3,8.7557,77.1248,NA,Slide_No 3 appears 5 times in inventory
378,15616,4,8.749,77.0235,Chippanchira,Slide_No 4 appears 4 times in inventory
378,15617,5,8.9555,77.1333,Aryankavu New Railway Station,Slide_No 5 appears 4 times in inventory
378,15618,6,8.9741,77.1459,Aryankavu,Slide_No 6 appears 4 times in inventory
378,15619,7,8.982,77.1529,Aryankavu Old Railway Station,Slide_No 7 appears 4 times in inventory
378,15620,8,8.9648,77.08,Thenmala Railway Station,Slide_No 8 appears 4 times in inventory
380,15710,KER/IDK/58G01/2018/04,9.874508,77.008653,Chittadikkavala 1,Slide_No KER/IDK/58G01/2018/04 appears 2 times in inventory
380,15711,KER/IDK/58G01/2018/05,9.877491,77.011606,Rationkadapadi-Karikkinmedu,Slide_No KER/IDK/58G01/2018/05 appears 2 times in inventory
388,15955,KE/MAL/58A03/2019/02,11.40425,76.23441667,Thudimutti,Slide_No KE/MAL/58A03/2019/02 appears 2 times in inventory
388,15956,KE/MAL/58A03/2019/03,11.40642222,76.2381,Thudimutti mala,Slide_No KE/MAL/58A03/2019/03 appears 2 times in inventory
388,15957,KE/MAL/58A03/2019/04,11.40527778,76.23916667,Thudimutti mala,Slide_No KE/MAL/58A03/2019/04 appears 2 times in inventory
388,15958,KE/MAL/58A03/2019/05,11.40661111,76.23575,Kavalapara II,Slide_No KE/MAL/58A03/2019/05 appears 2 times in inventory
388,15959,KE/MAL/58A03/2019/06,11.41255833,76.23224444,Kavalapara III,Slide_No KE/MAL/58A03/2019/06 appears 2 times in inventory
388,15960,KE/MAL/58A07/2019/07,11.38247222,76.26022222,Uppada Kottakunnu,Slide_No KE/MAL/58A07/2019/07 appears 2 times in inventory
388,15961,KE/MAL/58A07/2019/08,11.40305556,76.27113889,Anakallu Punchakolli,Slide_No KE/MAL/58A07/2019/08 appears 2 times in inventory
388,15962,KE/MAL/58A07/2019/09,11.39822222,76.27069444,Anakallu Kurishumala,Slide_No KE/MAL/58A07/2019/09 appears 2 times in inventory
389,15986,KE/MAL/58A07/2019/07,11.401456,76.370989,Thenpara (Vellaketta),Slide_No KE/MAL/58A07/2019/07 appears 2 times in inventory
389,15987,KE/MAL/58A07/2019/08,11.395894,76.369239,Near Thenpara (Vellaketta),Slide_No KE/MAL/58A07/2019/08 appears 2 times in inventory
389,15988,KE/MAL/58A07/2019/09,11.394755,76.359584,Vellaketta-Ground,Slide_No KE/MAL/58A07/2019/09 appears 2 times in inventory
390,16008,KE/MAL/58A03/2019/02,11.373517,76.212438,Moochickal,Slide_No KE/MAL/58A03/2019/02 appears 2 times in inventory
390,16009,KE/MAL/58A03/2019/03,11.372403,76.212901,Moochickal-1,Slide_No KE/MAL/58A03/2019/03 appears 2 times in inventory
390,16010,KE/MAL/58A03/2019/04,11.385613,76.208732,A P Kunnu,Slide_No KE/MAL/58A03/2019/04 appears 2 times in inventory
390,16011,KE/MAL/58A03/2019/05,11.376082,76.213301,Vilakkennampara,Slide_No KE/MAL/58A03/2019/05 appears 2 times in inventory
390,16012,KE/MAL/58A03/2019/06,11.389332,76.214594,Murukanjiram (Kooman thodu),Slide_No KE/MAL/58A03/2019/06 appears 2 times in inventory
396,16222,KER/KOZ/49M14/2025/02,11.520975,75.89981389,Cheedikuzhi debris flow,Slide_No KER/KOZ/49M14/2025/02 appears 2 times in inventory
396,16225,KER/KOZ/49M14/2025/5,11.72976111,75.81385278,Kuttiyadi Churam- 10th hairpin bend,Slide_No KER/KOZ/49M14/2025/5 appears 2 times in inventory
396,16226,KER/KOZ/49M14/2025/5,11.72481667,75.81764167,Pakranthalam,Slide_No KER/KOZ/49M14/2025/5 appears 2 times in inventory
396,16230,KER/KOZ/49M14/2025/02,11.43813889,76.39222222,Nadugani-Vazhikadavu Road-1,Slide_No KER/KOZ/49M14/2025/02 appears 2 times in inventory
406,16637,MAH/RAT/47G08/2015/89,17.19,73.253,Malgund,Slide_No MAH/RAT/47G08/2015/89 appears 2 times in inventory
407,16662,MAH/RAT/47G08/2015/89,17.23,73.335,Malgund,Slide_No MAH/RAT/47G08/2015/89 appears 2 times in inventory
410,16810,MH/SAT/47G14/2018/3,17.524617,73.822398,NA,Slide_No MH/SAT/47G14/2018/3 appears 2 times in inventory
412,16864,MH/SAT/47G14/2018/3,17.638873,73.838609,NA,Slide_No MH/SAT/47G14/2018/3 appears 2 times in inventory
414,16946,MH/SAT/47G13/2018/11,17.866835,73.750793,NA,Slide_No MH/SAT/47G13/2018/11 appears 2 times in inventory
415,16958,MH/SAT/47G13/2018/11,17.88496,73.779165,NA,Slide_No MH/SAT/47G13/2018/11 appears 2 times in inventory
