record_type,record_id,latitude,longitude,spatial_block_id,spatial_block_name,sample_ratio_tier,min_dist_to_landslide_m,nearest_positive_sl_no,colocation_duplicate_flag
PSEUDO_ABSENCE,NEG_0140,25.165630,91.280082,2,West Khasi Block,1:1,6080.33,19737,NO
PSEUDO_ABSENCE,NEG_0141,25.226946,90.164295,1,Garo Hills Block,1:1,5919.64,19854,NO
PSEUDO_ABSENCE,NEG_0142,26.003137,92.325153,4,Ri-Bhoi Block,1:1,10587.39,20481,NO
PSEUDO_ABSENCE,NEG_0143,25.577751,91.920892,3,East Khasi Block,1:1,1377.32,20488,NO
PSEUDO_ABSENCE,NEG_0144,25.627876,91.358320,2,West Khasi Block,1:1,5061.18,20282,NO
PSEUDO_ABSENCE,NEG_0145,25.128331,89.847721,1,Garo Hills Block,1:1,35362.70,20578,NO
PSEUDO_ABSENCE,NEG_0146,25.020054,91.565181,2,West Khasi Block,1:1,15927.11,19704,NO
PSEUDO_ABSENCE,NEG_0147,26.098438,91.895085,4,Ri-Bhoi Block,1:1,2085.34,20484,NO
PSEUDO_ABSENCE,NEG_0148,25.447606,91.607041,3,East Khasi Block,1:1,1562.33,20581,NO
PSEUDO_ABSENCE,NEG_0149,25.516769,92.776532,5,Jaintia Hills Block,1:1,22912.38,19996,NO
PSEUDO_ABSENCE,NEG_0150,25.675928,91.562365,4,Ri-Bhoi Block,1:1,3667.84,20359,NO
PSEUDO_ABSENCE,NEG_0151,25.590400,92.009978,5,Jaintia Hills Block,1:1,4538.04,20245,NO
PSEUDO_ABSENCE,NEG_0152,25.685781,91.501808,4,Ri-Bhoi Block,1:1,9231.53,20654,NO
PSEUDO_ABSENCE,NEG_0153,25.948397,90.775609,1,Garo Hills Block,1:1,26199.77,20403,NO
PSEUDO_ABSENCE,NEG_0154,25.072898,90.977378,1,Garo Hills Block,1:1,14624.16,19727,NO
PSEUDO_ABSENCE,NEG_0155,25.927556,92.132942,4,Ri-Bhoi Block,1:1,7167.47,20428,NO
PSEUDO_ABSENCE,NEG_0156,25.208672,91.257457,2,West Khasi Block,1:1,2509.42,19737,NO
PSEUDO_ABSENCE,NEG_0157,25.779205,90.683471,1,Garo Hills Block,1:1,15571.39,20403,NO
PSEUDO_ABSENCE,NEG_0158,25.717296,90.906767,1,Garo Hills Block,1:1,8438.40,20403,NO
PSEUDO_ABSENCE,NEG_0159,25.739737,91.193663,4,Ri-Bhoi Block,1:1,4755.96,20394,NO
PSEUDO_ABSENCE,NEG_0160,25.105304,91.014336,2,West Khasi Block,1:1,9924.56,19727,NO
PSEUDO_ABSENCE,NEG_0161,25.763383,92.200755,4,Ri-Bhoi Block,1:1,6826.28,20417,NO
PSEUDO_ABSENCE,NEG_0162,25.119203,90.749439,1,Garo Hills Block,1:1,15544.90,20577,NO
PSEUDO_ABSENCE,NEG_0163,25.663953,89.820471,1,Garo Hills Block,1:1,19104.64,20212,NO
PSEUDO_ABSENCE,NEG_0164,25.395855,90.285496,1,Garo Hills Block,1:1,13317.36,20093,NO
PSEUDO_ABSENCE,NEG_0165,25.792654,90.900630,1,Garo Hills Block,1:1,10979.89,20419,NO
PSEUDO_ABSENCE,NEG_0166,25.204571,90.641352,1,Garo Hills Block,1:1,1114.51,20577,NO
PSEUDO_ABSENCE,NEG_0167,25.080232,89.905978,1,Garo Hills Block,1:1,36612.53,19854,NO
PSEUDO_ABSENCE,NEG_0168,25.644376,92.186292,5,Jaintia Hills Block,1:1,4368.32,20373,NO
PSEUDO_ABSENCE,NEG_0169,25.759530,91.682146,4,Ri-Bhoi Block,1:1,2338.90,20649,NO
PSEUDO_ABSENCE,NEG_0170,25.328577,90.073320,1,Garo Hills Block,1:1,6042.07,20578,NO
PSEUDO_ABSENCE,NEG_0171,25.418817,92.293748,5,Jaintia Hills Block,1:1,562.97,20043,NO
PSEUDO_ABSENCE,NEG_0172,26.023170,90.353345,1,Garo Hills Block,1:1,27337.66,20415,NO
PSEUDO_ABSENCE,NEG_0173,25.635114,92.014059,5,Jaintia Hills Block,1:1,3381.52,20340,NO
PSEUDO_ABSENCE,NEG_0174,25.896889,92.436182,4,Ri-Bhoi Block,1:1,26714.23,20481,NO
PSEUDO_ABSENCE,NEG_0175,25.117010,91.885353,3,East Khasi Block,1:1,9532.08,19734,NO
PSEUDO_ABSENCE,NEG_0176,25.039571,91.684774,3,East Khasi Block,1:1,14419.18,19713,NO
PSEUDO_ABSENCE,NEG_0177,25.180001,90.494525,1,Garo Hills Block,1:1,14254.39,20577,NO
PSEUDO_ABSENCE,NEG_0178,26.084418,91.571145,4,Ri-Bhoi Block,1:1,8069.43,20472,NO
PSEUDO_ABSENCE,NEG_0179,25.104866,89.904963,1,Garo Hills Block,1:1,34515.43,20578,NO
PSEUDO_ABSENCE,NEG_0180,25.387778,92.065837,5,Jaintia Hills Block,1:1,4930.81,19949,NO
PSEUDO_ABSENCE,NEG_0181,25.267510,91.891658,3,East Khasi Block,1:1,1669.77,19872,NO
PSEUDO_ABSENCE,NEG_0182,25.262632,91.522153,2,West Khasi Block,1:1,3135.37,19890,NO
PSEUDO_ABSENCE,NEG_0183,25.495797,91.701674,3,East Khasi Block,1:1,1467.01,20102,NO
PSEUDO_ABSENCE,NEG_0184,25.223034,91.527083,2,West Khasi Block,1:1,5233.42,19742,NO
PSEUDO_ABSENCE,NEG_0185,25.152962,91.274100,2,West Khasi Block,1:1,6694.49,19737,NO
PSEUDO_ABSENCE,NEG_0186,25.954160,91.278245,4,Ri-Bhoi Block,1:1,15854.69,20425,NO
PSEUDO_ABSENCE,NEG_0187,25.548082,90.030393,1,Garo Hills Block,1:1,5386.40,20232,NO
PSEUDO_ABSENCE,NEG_0188,25.921141,90.969089,1,Garo Hills Block,1:1,12970.50,20423,NO
PSEUDO_ABSENCE,NEG_0189,25.049152,89.885021,1,Garo Hills Block,1:1,40273.72,19854,NO
PSEUDO_ABSENCE,NEG_0190,25.446577,91.842752,3,East Khasi Block,1:1,1794.68,20059,NO
PSEUDO_ABSENCE,NEG_0191,25.550749,92.061293,5,Jaintia Hills Block,1:1,2594.12,20223,NO
PSEUDO_ABSENCE,NEG_0192,25.506059,89.831820,1,Garo Hills Block,1:1,15105.96,20127,NO
PSEUDO_ABSENCE,NEG_0193,25.990960,92.144209,4,Ri-Bhoi Block,1:1,8727.91,20465,NO
PSEUDO_ABSENCE,NEG_0194,26.018311,92.141919,4,Ri-Bhoi Block,1:1,9341.04,20465,NO
PSEUDO_ABSENCE,NEG_0195,25.576059,91.626737,3,East Khasi Block,1:1,2734.31,20593,NO
PSEUDO_ABSENCE,NEG_0196,25.814868,91.656448,4,Ri-Bhoi Block,1:1,1255.93,20652,NO
PSEUDO_ABSENCE,NEG_0197,25.563847,91.857788,3,East Khasi Block,1:1,1103.06,20512,NO
PSEUDO_ABSENCE,NEG_0198,25.714085,91.584939,4,Ri-Bhoi Block,1:1,1908.27,20653,NO
PSEUDO_ABSENCE,NEG_0199,25.241059,91.139788,2,West Khasi Block,1:1,3521.20,19841,NO
PSEUDO_ABSENCE,NEG_0200,25.191048,91.008273,2,West Khasi Block,1:1,3239.64,19727,NO
PSEUDO_ABSENCE,NEG_0201,25.192402,90.781309,1,Garo Hills Block,1:1,15132.04,20577,NO
PSEUDO_ABSENCE,NEG_0202,25.631721,91.150799,2,West Khasi Block,1:1,1203.37,20307,NO
PSEUDO_ABSENCE,NEG_0203,25.919350,92.188126,4,Ri-Bhoi Block,1:1,6904.23,20428,NO
PSEUDO_ABSENCE,NEG_0204,25.352802,90.553294,1,Garo Hills Block,1:1,14580.82,20024,NO
PSEUDO_ABSENCE,NEG_0205,25.492466,89.993222,1,Garo Hills Block,1:1,4379.44,20127,NO
PSEUDO_ABSENCE,NEG_0206,25.217640,91.653734,3,East Khasi Block,1:1,1133.61,19765,NO
PSEUDO_ABSENCE,NEG_0207,25.939338,90.961821,1,Garo Hills Block,1:1,15020.96,20423,NO
PSEUDO_ABSENCE,NEG_0208,25.022036,91.593946,2,West Khasi Block,1:1,16648.94,19706,NO
PSEUDO_ABSENCE,NEG_0209,25.071674,91.786564,3,East Khasi Block,1:1,13214.62,19722,NO
PSEUDO_ABSENCE,NEG_0210,25.384152,92.479498,5,Jaintia Hills Block,1:1,4908.88,19965,NO
PSEUDO_ABSENCE,NEG_0211,25.103839,90.972003,1,Garo Hills Block,1:1,11925.34,19727,NO
PSEUDO_ABSENCE,NEG_0212,25.988982,90.650958,1,Garo Hills Block,1:1,30576.06,20415,NO
PSEUDO_ABSENCE,NEG_0213,25.948916,90.986064,1,Garo Hills Block,1:1,14688.46,20423,NO
PSEUDO_ABSENCE,NEG_0214,25.467172,91.426536,2,West Khasi Block,1:1,5163.87,20047,NO
PSEUDO_ABSENCE,NEG_0215,25.396243,91.555701,2,West Khasi Block,1:1,548.05,20594,NO
PSEUDO_ABSENCE,NEG_0216,25.424306,91.414050,2,West Khasi Block,1:1,912.12,20047,NO
PSEUDO_ABSENCE,NEG_0217,25.067362,90.708303,1,Garo Hills Block,1:1,17635.94,20577,NO
PSEUDO_ABSENCE,NEG_0218,25.564841,90.718164,1,Garo Hills Block,1:1,7407.92,20103,NO
PSEUDO_ABSENCE,NEG_0219,25.021725,90.787170,1,Garo Hills Block,1:1,26129.51,20577,NO
PSEUDO_ABSENCE,NEG_0220,25.401064,91.453020,2,West Khasi Block,1:1,556.08,20035,NO
PSEUDO_ABSENCE,NEG_0221,25.028001,91.444456,2,West Khasi Block,1:1,15406.53,19708,NO
PSEUDO_ABSENCE,NEG_0222,25.035492,91.074262,2,West Khasi Block,1:1,17663.21,19727,NO
PSEUDO_ABSENCE,NEG_0223,25.049304,91.054046,2,West Khasi Block,1:1,15855.61,19727,NO
PSEUDO_ABSENCE,NEG_0224,25.573110,90.241479,1,Garo Hills Block,1:1,5711.40,20255,NO
PSEUDO_ABSENCE,NEG_0225,25.284136,91.902924,3,East Khasi Block,1:1,2608.21,19897,NO
PSEUDO_ABSENCE,NEG_0226,25.675910,90.730555,1,Garo Hills Block,1:1,8330.75,20294,NO
PSEUDO_ABSENCE,NEG_0227,25.893173,90.335485,1,Garo Hills Block,1:1,15524.60,20415,NO
PSEUDO_ABSENCE,NEG_0228,25.241719,91.257060,2,West Khasi Block,1:1,4664.97,19751,NO
PSEUDO_ABSENCE,NEG_0229,25.172363,90.759004,1,Garo Hills Block,1:1,13435.23,20577,NO
